iter	RMSE
0	12.53116128
1	10.68163108
2	9.34807384
3	8.335753472
4	7.502376076
5	6.980864246
6	6.655546817
7	6.290182825
8	6.047324442
9	5.876464521
10	5.733909666
11	5.594886378
12	5.502344465
13	5.447317243
14	5.363717231
15	5.291439928
16	5.245927584
17	5.206532623
18	5.176799707
19	5.146891662
20	5.118604842
21	5.081135468
22	5.025711312
23	5.007440491
24	4.985078906
25	4.967307863
26	4.954680865
27	4.932662968
28	4.900385584
29	4.864928835
30	4.851435397
31	4.838383153
32	4.813927567
33	4.796922311
34	4.78896793
35	4.766586057
36	4.752819105
37	4.750365153
38	4.739677196
39	4.73911848
40	4.711481296
41	4.699276148
42	4.678740948
43	4.630226277
44	4.606938794
45	4.568524833
46	4.541301813
47	4.515264447
48	4.506275054
49	4.505337769
50	4.488223687
51	4.48699332
52	4.449643177
53	4.420508125
54	4.400427054
55	4.367849995
56	4.344148643
57	4.326030987
58	4.3078525
59	4.299466037
60	4.288353658
61	4.276768402
62	4.253785619
63	4.239883885
64	4.220053741
65	4.206598662
66	4.202695199
67	4.189287176
68	4.172920071
69	4.156995523
70	4.126715998
71	4.106131426
72	4.08661973
73	4.056245527
74	4.052440047
75	4.031864154
76	4.025561135
77	4.012348895
78	3.999266058
79	3.987517658
80	3.960595443
81	3.947664158
82	3.934929955
83	3.912543492
84	3.898583813
85	3.874237319
86	3.867325232
87	3.860059873
88	3.841475406
89	3.831323268
90	3.828535263
91	3.826263762
92	3.823312715
93	3.812883005
94	3.79879915
95	3.771063243
96	3.767088194
97	3.752713586
98	3.745374518
99	3.730021956
