iter	Passed	Remaining
0	0	98
1	1	81
2	2	74
3	2	69
4	3	67
5	4	65
6	4	64
7	5	66
8	6	66
9	7	65
10	7	64
11	8	62
12	9	61
13	9	60
14	10	59
15	11	58
16	11	57
17	12	56
18	13	56
19	13	55
20	14	54
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	18	50
27	19	49
28	20	49
29	21	49
30	21	48
31	22	48
32	23	47
33	23	46
34	24	45
35	25	44
36	25	44
37	26	43
38	27	42
39	27	41
40	28	40
41	29	40
42	29	39
43	30	39
44	31	38
45	32	37
46	33	37
47	33	36
48	34	35
49	35	35
50	36	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	22
69	49	21
70	50	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	55	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	69	0
99	70	0
